cpc;description_en;common_name_en
S6413;Sightseeing transportation services;
S64131;Sightseeing services by rail;
S64132;Sightseeing services by land, except rail;
S64133;Sightseeing services by water;
S64134;Sightseeing services by air;
S642;Long-distance transport services of passengers;
S6421;Interurban railway transport services of passengers;
S64210;Interurban railway transport services of passengers;
S6422;Interurban road transport services of passengers;
S64221;Interurban scheduled road transport services of passengers;
S64222;Interurban special-purpose scheduled road transport services of passengers;
S64223;Long-distance bus and coach charter services;
S6423;Long-distance water transport services of passengers;
S64231;Coastal and transoceanic water transport services of passengers by ferries;
S64232;Coastal and transoceanic water transport services of passengers on cruise ships;
S64239;Other coastal and transoceanic water transport services of passengers;
S6424;Air transport services of passengers;
S64241;Domestic scheduled air transport services of passengers;
S64242;Domestic non-scheduled air transport services of passengers;
S64243;International scheduled air transport services of passengers;
S64244;International non-scheduled air transport services of passengers;
S6425;Space transport services of passengers;
S64250;Space transport services of passengers;
S65;Freight transport services;
S651;Land transport services of freight;
S6511;Road transport services of freight;
S65111;Road transport services of freight by refrigerator vehicles;
S65112;Road transport services of freight by tank trucks or semi-trailers;
S65113;Road transport services of intermodal containers;
S65114;Road transport services of freight by man- or animal-drawn vehicles;
S65115;Moving services of household furniture and household goods;
S65116;Road transport services of letters and parcels;
S65117;Road transport services of dry bulk;
S65118;Road transport services of live animals;
S65119;Other road transport services of freight;
S6512;Railway transport services of freight;
S65121;Railway transport services of freight by refrigerator cars;
S65122;Railway transport services of freight by tanker cars;
S65123;Railway transport services of intermodal containers;
S65124;Railway transport services of letters and parcels;
S65125;Railway transport services of dry bulk goods;
S65126;Railway transport services of live animals;
S65129;Other railway transport services of freight;
S6513;Transport services via pipeline;
S65131;Transport services via pipeline of petroleum and natural gas;
S65139;Transport services via pipeline of other goods;
S652;Water transport services of freight;
S6521;Coastal and transoceanic water transport services of freight;
S65211;Coastal and transoceanic water transport services of freight by refrigerator vessels;
S65212;Coastal and transoceanic water transport services of freight by tankers;
S65213;Coastal and transoceanic water transport services of intermodal containers by container ships;
S65219;Other coastal and transoceanic water transport services of other freight;
S6522;Inland water transport services of freight;
S65221;Inland water transport services of freight by refrigerator vessels;
S65222;Inland water transport services of freight by tankers;
S65229;Other inland water transport services of freight;
S653;Air and space transport services of freight;
S6531;Air transport services of freight;
S65311;Air transport services of letters and parcels;
S65319;Air transport services of other freight;
S6532;Space transport services of freight;
S65320;Space transport services of freight;
S66;Rental services of transport vehicles with operators;
S660;Rental services of transport vehicles with operators;
S6601;Rental services of road vehicles with operators;
S66011;Rental services of buses and coaches with operator;
S66012;Rental services of trucks with operator;
S6602;Rental services of water vessels with operator;
S66021;Rental services of passenger vessels for coastal and transoceanic water transport with operator;
S66022;Rental services of freight vessels for coastal and transoceanic water transport with operator;
S66023;Rental services of passenger vessels for inland water transport with operator;
S66024;Rental services of freight vessels for inland water transport with operator;
S6603;Rental services of aircraft with operator;
S66031;Rental services of passenger aircraft with operator;
S66032;Rental services of freight aircraft with operator;
S67;Supporting transport services;
S671;Cargo handling services;
S6711;Container handling services;
S67110;Container handling services;
S6719;Other cargo and baggage handling services;
S67190;Other cargo and baggage handling services;
S672;Storage and warehousing services;
S6721;Refrigerated storage services;
S67210;Refrigerated storage services;
S6722;Bulk liquid or gas storage services;
S67220;Bulk liquid or gas storage services;
S6729;Other storage and warehousing services;
S67290;Other storage and warehousing services;
S673;Supporting services for railway transport;
S6731;Railway pushing or towing services;
S67310;Railway pushing or towing services;
S6739;Other supporting services for railway transport;
S67390;Other supporting services for railway transport;
S674;Supporting services for road transport;
S6741;Bus station services;
S67410;Bus station services;
S6742;Highway, bridge and tunnel operation services;
S67420;Highway, bridge and tunnel operation services;
S6743;Parking lot services;
S67430;Parking lot services;
S6744;Towing services for commercial and private vehicles;
S67440;Towing services for commercial and private vehicles;
S6749;Other supporting services for road transport;
S67490;Other supporting services for road transport;
S675;Supporting services for water transport;
S6751;Port and waterway operation services (excl. cargo handling);
S67511;Port and waterway operation services (excl. cargo handling), on coastal and transoceanic waters;
S67512;Inland waterway operation services (excl. cargo handling);
S6752;Pilotage and berthing services;
S67521;Pilotage and berthing services on coastal and transoceanic waters;
S67522;Pilotage and berthing services in inland waters;
S6753;Vessel salvage and refloating services;
S67531;Vessel salvage and refloating services on coastal and transoceanic waters;
S67532;Vessel salvage and refloating services in inland waters;
S6759;Other supporting services for water transport;
S67590;Other supporting services for water transport;
S676;Supporting services for air or space transport;
S6761;Airport operation services (excl. cargo handling);
S67610;Airport operation services (excl. cargo handling);
S6762;Air traffic control services;
S67620;Air traffic control services;
S6763;Other supporting services for air transport;
S67630;Other supporting services for air transport;
S6764;Supporting services for space transport;
S67640;Supporting services for space transport;
S679;Other supporting transport services;
S6791;Freight transport agency services and other freight transport services;
S67910;Freight transport agency services and other freight transport services;
S6799;Other supporting transport services n.e.c.;
S67990;Other supporting transport services n.e.c.;
S68;Postal and courier services;
S680;Postal and courier services;
S6801;Postal services;
S68011;Postal services related to letters;
S68012;Postal services related to parcels;
S68013;Post office counter services;
S68019;Other postal services;
S6802;Courier services;
S68021;Domestic courier services;
S68022;International courier services;
S6803;Local delivery services;
S68030;Local delivery services;
S69;Electricity, gas and water distribution (on own account);
S691;Electricity and gas distribution (on own account);
S6911;Electricity transmission and distribution (on own account);
S69111;Transmission of electricity (on own account);
S69112;Distribution of electricity (on own account);
S6912;Gas distribution through mains (on own account);
S69120;Gas distribution through mains (on own account);
S692;Water distribution (on own account);
S6921;Water distribution through mains, except steam and hot water (on own account);
S69210;Water distribution through mains, except steam and hot water (on own account);
S6922;Distribution of steam, hot water and air-conditioning supply through mains (on own account);
S69220;Distribution of steam, hot water and air-conditioning supply through mains (on own account);
S6923;Water distribution, except through mains (on own account);
S69230;Water distribution, except through mains (on own account);
S7;"Financial and related services; real estate services; and rental and leasing services";
S71;Financial and related services;
S711;Financial services, except investment banking, insurance services and pension services;
S7111;Central banking services;
S71110;Central banking services;
S7112;Deposit services;
S71121;Deposit services to corporate and institutional depositors;
S71122;Deposit services to other depositors;
S7113;Credit-granting services;
S71131;Residential mortgage loan services;
S71132;Non-residential mortgage loan services;
S71133;Personal non-mortgage loan services for non-business purposes;
S71134;Credit card loan services;
S71135;Non-mortgage loan services for business purposes;
S71139;Other credit-granting services;
S7114;Financial leasing services;
S71140;Financial leasing services;
S7119;Other financial services, except investment banking, insurance services and pension services;
S71190;Other financial services, except investment banking, insurance services and pension services;
S712;Investment banking services;
S7120;Investment banking services;
S71200;Investment banking services;
S713;Insurance and pension services (excluding reinsurance services), except compulsory social security services;
S7131;Life insurance and pension services (excluding reinsurance services);
S71311;Life insurance services;
S71312;Individual pension services;
S71313;Group pension services;
S7132;Accident and health insurance services;
S71321;Accidental death and dismemberment insurance services;
S71322;Health insurance services;
S7133;Other non-life insurance services (excluding reinsurance services);
S71331;Motor vehicle insurance services;
S71332;Marine, aviation, and other transport insurance services;
S71333;Freight insurance services;
S71334;Other property insurance services;
S71335;General liability insurance services;
S71336;Credit and surety insurance services;
S71337;Travel insurance services;
S71339;Other non-life insurance services;
S714;Reinsurance services;
S7141;Life reinsurance services;
S71410;Life reinsurance services;
S7142;Accident and health reinsurance services;
S71420;Accident and health reinsurance services;
S7143;Other non-life reinsurance services;
S71431;Motor vehicle reinsurance services;
S71432;Marine, aviation and other transport reinsurance services;
S71433;Freight reinsurance services;
S71434;Other property reinsurance services;
S71435;General liability reinsurance services;
S71436;Credit and surety reinsurance services;
S71439;Other non-life reinsurance services, n.e.c.;
S715;Services auxiliary to financial services other than to insurance and pensions;
S7151;Services related to investment banking;
S71511;Mergers and acquisition services;
S71512;Corporate finance and venture capital services;
S71519;Other services related to investment banking;
S7152;Brokerage and related securities and commodities services;
S71521;Securities brokerage services;
S71522;Commodity brokerage services;
S71523;Processing and clearing services of securities transactions;
S7153;Portfolio management services except pension funds;
S71530;Portfolio management services except pension funds;
S7154;Trust and custody services;
S71541;Trust services;
S71542;Custody services;
S7155;Services related to the administration of financial markets;
S71551;Financial market operational services;
S71552;Financial market regulatory services;
S71559;Other financial market administration services;
S7159;Other services auxiliary to financial services;
S71591;Financial consultancy services;
S71592;Foreign exchange services;
S71593;Financial transactions processing and clearinghouse services;
S71599;Other services auxiliary to financial services n.e.c.;
S716;Services auxiliary to insurance and pensions;
S7161;Insurance brokerage and agency services;
S71610;Insurance brokerage and agency services;
S7162;Insurance claims adjustment services;
S71620;Insurance claims adjustment services;
S7163;Actuarial services;
S71630;Actuarial services;
S7164;Pension fund management services;
S71640;Pension fund management services;
S7169;Other services auxiliary to insurance and pensions;
S71690;Other services auxiliary to insurance and pensions;
S717;Services of holding financial assets;
S7170;Services of holding financial assets;
S71701;Services of holding equity of subsidiary companies;
S71702;Services of holding securities and other assets of trusts and funds and similar financial entities;
S72;Real estate services;
S721;Real estate services involving own or leased property;
S7211;Rental or leasing services involving own or leased property;
S72111;Rental or leasing services involving own or leased residential property;
S72112;Rental or leasing services involving own or leased non-residential property;
S7212;Trade services of buildings;
S72121;Trade services of residential buildings;
S72122;Trade services of non-residential buildings;
S72123;Trade services of time-share properties;
S7213;Trade services of vacant and subdivided land;
S72130;Trade services of vacant and subdivided land;
S722;Real estate services on a fee or contract basis;
S7221;Property management services on a fee or contract basis;
S72211;Residential property management services on a fee or contract basis except of time-share ownership properties;
S72212;Non-residential property management services on a fee or contract basis;
S72213;Time-share property management services on a fee or contract basis;
S7222;Building sales on a fee or contract basis;
S72221;Residential building sales on a fee or contract basis, except of time-share ownership properties;
S72222;Non-residential building sales on a fee or contract basis;
S72223;Sale of time-share properties on a fee or contract basis;
S7223;Land sales on a fee or contract basis;
S72230;Land sales on a fee or contract basis;
S7224;Real estate appraisal services on a fee or contract basis;
S72240;Real estate appraisal services on a fee or contract basis;
S73;Leasing or rental services without operator;
S731;Leasing or rental services concerning machinery and equipment without operator;
S7311;Leasing or rental services concerning transport equipment without operator;
S73111;Leasing or rental services concerning cars and light vans without operator;
S73112;Leasing or rental services concerning goods transport motor vehicles without operator;
S73113;Leasing or rental services concerning railroad vehicles without operator;
S73114;Leasing or rental services concerning other land transport equipment without operator;
S73115;Leasing or rental services concerning vessels without operator;
S73116;Leasing or rental services concerning aircraft without operator;
S73117;Leasing or rental services concerning containers;
S7312;Leasing or rental services concerning other machinery and equipment without operator;
S73121;Leasing or rental services concerning agricultural machinery and equipment without operator;
S73122;Leasing or rental services concerning construction machinery and equipment without operator;
S73123;Leasing or rental services concerning office machinery and equipment (except computers) without operator;
S73124;Leasing or rental services concerning computers without operator;
S73125;Leasing or rental services concerning telecommunications equipment without operator;
S73129;Leasing or rental services concerning other machinery and equipment without operator n.e.c.;
S732;Leasing or rental services concerning other goods;
S7321;Leasing or rental services concerning televisions, radios, video cassette recorders and related equipment and accessories;
S73210;Leasing or rental services concerning televisions, radios, video cassette recorders and related equipment and accessories;
S7322;Leasing or rental services concerning videotapes and disks;
S73220;Leasing or rental services concerning videotapes and disks;
S7323;Leasing or rental services concerning furniture and other household appliances;
S73230;Leasing or rental services concerning furniture and other household appliances;
S7324;Leasing or rental services concerning pleasure and leisure equipment;
S73240;Leasing or rental services concerning pleasure and leisure equipment;
S7325;Leasing or rental services concerning household linen;
S73250;Leasing or rental services concerning household linen;
S7326;Leasing or rental services concerning textiles, clothing and footwear;
S73260;Leasing or rental services concerning textiles, clothing and footwear;
S7327;Leasing or rental services concerning do-it-yourself machinery and equipment;
S73270;Leasing or rental services concerning do-it-yourself machinery and equipment;
S7329;Leasing or rental services concerning other goods n.e.c.;
S73290;Leasing or rental services concerning other goods n.e.c.;
S733;Licensing services for the right to use intellectual property and similar products;
S7331;Licensing services for the right to use computer software and databases;
S73311;Licensing services for the right to use computer software;
S73312;Licensing services for the right to use databases;
S7332;Licensing services for the right to use entertainment, literary or artistic originals;
S73320;Licensing services for the right to use entertainment, literary or artistic originals;
S7333;Licensing services for the right to use R&D products;
S73330;Licensing services for the right to use R&D products;
S7334;Licensing services for the right to use trademarks and franchises;
S73340;Licensing services for the right to use trademarks and franchises;
S7335;Licensing services for the right to use mineral exploration and evaluation;
S73350;Licensing services for the right to use mineral exploration and evaluation;
S7339;Licensing services for the right to use other intellectual property products;
S73390;Licensing services for the right to use other intellectual property products;
S8;Business and production services;
S81;Research and development services;
S811;Research and experimental development services in natural sciences and engineering;
S8111;Basic research services in natural sciences and engineering;
S81111;Basic research services in physical sciences;
S81112;Basic research services in chemistry and biology;
S81113;Basic research services in biotechnology;
S81114;Basic research services in engineering and technology;
S81115;Basic research services in medical sciences and pharmacy;
S81116;Basic research services in agricultural sciences;
S81119;Basic research services in other natural sciences;
S8112;Applied research services in natural sciences and engineering;
S81121;Applied research services in physical sciences;
S81122;Applied research services in chemistry and biology;
S81123;Applied research services in biotechnology;
S81124;Applied research services in engineering and technology;
S81125;Applied research services in medical sciences and pharmacy;
S81126;Applied research services in agricultural sciences;
S81129;Applied research services in other natural sciences;
S8113;Experimental development services in natural sciences and engineering;
S81131;Experimental development services in physical sciences;
S81132;Experimental development services in chemistry and biology;
S81133;Experimental development services in biotechnology;
S81134;Experimental development services in engineering and technology;
S81135;Experimental development services in medical sciences and pharmacy;
S81136;Experimental development services in agricultural sciences;
S81139;Experimental development services in other natural sciences;
S812;Research and experimental development services in social sciences and humanities;
S8121;Basic research services in social sciences and humanities;
S81211;Basic research services in psychology;
S81212;Basic research services in economics;
S81213;Basic research services in law;
S81214;Basic research services in languages and literature;
S81219;Basic research services in other social sciences and humanities;
S8122;Applied research services in social sciences and humanities;
S81221;Applied research services in psychology;
S81222;Applied research services in economics;
S81223;Applied research services in law;
S81224;Applied research services in language and literature;
S81229;Applied research services on other social sciences and humanities;
S8123;Experimental development services in social sciences and humanities;
S81231;Experimental development services in psychology;
S81232;Experimental development services in economics;
S81233;Experimental development services in law;
S81234;Experimental development services in languages and literature;
S81239;Experimental development services in other social sciences and humanities;
S813;Interdisciplinary research and experimental development services;
S8130;Interdisciplinary research and experimental development services;
S81301;Interdisciplinary basic research services;
S81302;Interdisciplinary applied research services;
S81303;Interdisciplinary experimental development services;
S814;Research and development originals;
S8140;Research and development originals;
S81400;Research and development originals;
S82;Legal and accounting services;
S821;Legal services;
S8211;Legal advisory and representation services concerning criminal law;
S82110;Legal advisory and representation services concerning criminal law;
S8212;Legal advisory and representation services concerning other fields of law;
S82120;Legal advisory and representation services concerning other fields of law;
S8213;Legal documentation and certification services;
S82130;Legal documentation and certification services;
S8219;Other legal services;
S82191;Arbitration and conciliation services;
S82199;Other legal services n.e.c.;
S822;Accounting, auditing and bookkeeping services;
S8221;Financial auditing services;
S82210;Financial auditing services;
S8222;Accounting and bookkeeping services;
S82221;Accounting services;
S82222;Bookkeeping services;
S82223;Payroll services;
S823;Tax consultancy and preparation services;
S8231;Corporate tax consulting and preparation services;
S82310;Corporate tax consulting and preparation services;
S8232;Individual tax preparation and planning services;
S82320;Individual tax preparation and planning services;
S824;Insolvency and receivership services;
S8240;Insolvency and receivership services;
S82400;Insolvency and receivership services;
S83;Professional, technical and business services (except research, development, legal and accounting services);
S831;"Management consulting and management services; information technology services";
S8311;Management consulting and management services;
S83111;Strategic management consulting services;
S83112;Financial management consulting services;
S83113;Human resources management consulting services;
S83114;Marketing management consulting services;
S83115;Operations management consulting services;
S83116;Supply chain and other management consulting services;
S83117;Business process management services;
S83118;Head office services;
S8312;Business consulting services;
S83121;Public relations services;
S83129;Other business consulting services;
S8313;Information technology (IT) consulting and support services;
S83131;IT consulting services;
S83132;IT support services;
S8314;Information technology (IT) design and development services;
S83141;IT design and development services for applications;
S83142;IT design and development services for networks and systems;
S83143;Software originals;
S8315;Hosting and information technology (IT) infrastructure provisioning services;
S83151;Website hosting services;
S83152;Application service provisioning;
S83159;Other hosting and IT infrastructure provisioning services;
S8316;IT infrastructure and network management services;
S83161;Network management services;
S83162;Computer systems management services;
S8319;Other management services, except construction project management services;
S83190;Other management services, except construction project management services;
S832;Architectural services, urban and land planning and landscape architectural services;
S8321;Architectural services and advisory services;
S83211;Architectural advisory services;
S83212;Architectural services for residential building projects;
S83213;Architectural services for non-residential building projects;
S83214;Historical restoration architectural services;
S8322;Urban and land planning services;
S83221;Urban planning services;
S83222;Rural land planning services;
S83223;Project site master planning services;
S8323;Landscape architectural services and advisory services;
S83231;Landscape architectural advisory services;
S83232;Landscape architectural services;
S833;Engineering services;
S8331;Engineering advisory services;
S83310;Engineering advisory services;
S8332;Engineering services for specific projects;
S83321;Engineering services for building projects;
S83322;Engineering services for industrial and manufacturing projects;
S83323;Engineering services for transportation projects;
S83324;Engineering services for power projects;
S83325;Engineering services for telecommunications and broadcasting projects;
S83326;Engineering services for waste management projects (hazardous and non-hazardous);
S83327;Engineering services for water, sewerage and drainage projects;
S83329;Engineering services for other projects;
S8333;Project management services for construction projects;
S83330;Project management services for construction projects;
S834;Scientific and other technical services;
S8341;Geological, geophysical and other prospecting services;
S83411;Geological and geophysical consulting services;
S83412;Geophysical services;
S83413;Mineral exploration and evaluation;
S8342;Surface surveying and map-making services;
S83421;Surface surveying services;
S83422;Map-making services;
S8343;Weather forecasting and meteorological services;
S83430;Weather forecasting and meteorological services;
S8344;Technical testing and analysis services;
S83441;Composition and purity testing and analysis services;
S83442;Testing and analysis services of physical properties;
S83443;Testing and analysis services of integrated mechanical and electrical systems;
S83444;Technical inspection services of road transport vehicles;
S83449;Other technical testing and analysis services;
S835;Veterinary services;
S8351;Veterinary services for pet animals;
S83510;Veterinary services for pet animals;
S8352;Veterinary services for livestock;
S83520;Veterinary services for livestock;
S8359;Other veterinary services;
S83590;Other veterinary services;
S836;Advertising services and provision of advertising space or time;
S8361;Advertising services;
S83611;Full service advertising;
S83612;Direct marketing and direct mail services;
S83619;Other advertising services;
S8362;Purchase or sale of advertising space or time, on commission;
S83620;Purchase or sale of advertising space or time, on commission;
S8363;Sale of advertising space or time (except on commission);
S83631;Sale of advertising space in print media (except on commission);
S83632;Sale of TV/radio advertising time (except on commission);
S83633;Sale of Internet advertising space (except on commission);
S83639;Sale of other advertising space or time (except on commission);
S837;Market research and public opinion polling services;
S8370;Market research and public opinion polling services;
S83700;Market research and public opinion polling services;
S838;Photography services and photographic processing services;
S8381;Photography services and event videography services;
S83811;Portrait photography services;
S83812;Advertising and related photography services;
S83813;Event photography and event videography services;
S83814;Specialty photography services;
S83815;Restoration and retouching services of photography;
S83819;Other photography services;
S8382;Photographic processing services;
S83820;Photographic processing services;
S839;Other professional, technical and business services;
S8391;Specialty design services;
S83911;Interior design services;
S83912;Industrial design services;
S83919;Other specialty design services;
S8392;Design originals;
S83920;Design originals;
S8393;Scientific and technical consulting services n.e.c.;
S83931;Environmental consulting services;
S83939;Other scientific and technical consulting services n.e.c.;
S8394;Original compilations of facts/information;
S83940;Original compilations of facts/information;
S8395;Translation and interpretation services;
S83950;Translation and interpretation services;
S8396;Trademarks and franchises;
S83960;Trademarks and franchises;
S8399;Other professional, technical and business services, n.e.c.;
S83990;Other professional, technical and business services, n.e.c.;
S84;Telecommunications, broadcasting and information supply services;
S841;Telephony and other telecommunications services;
S8411;Carrier services;
S84110;Carrier services;
S8412;Fixed telephony services;
S84120;Fixed telephony services;
S8413;Mobile telecommunications services;
S84131;Mobile voice services;
S84132;Mobile text services;
S84133;Mobile data services, except text services;
S8414;Private network services;
S84140;Private network services;
S8415;Data transmission services;
S84150;Data transmission services;
S8419;Other telecommunications services;
S84190;Other telecommunications services;
S842;Internet telecommunications services;
S8421;Internet backbone services;
S84210;Internet backbone services;
S8422;Internet access services;
S84221;Narrowband Internet access services;
S84222;Broadband Internet access services;
S8429;Other Internet telecommunications services;
S84290;Other Internet telecommunications services;
S843;On-line content;
S8431;On-line text based information;
S84311;On-line books;
S84312;On-line newspapers and periodicals;
S84313;On-line directories and mailing lists;
S8432;On-line audio content;
S84321;Musical audio downloads;
S84322;Streamed audio content;
S8433;On-line video content;
S84331;Films and other video downloads;
S84332;Streamed video content;
S8434;Software downloads;
S84341;System software downloads;
S84342;Application software downloads;
S8439;Other on-line content;
S84391;On-line games;
S84392;On-line software;
S84393;On-line adult content;
S84394;Web search portal content;
S84399;Other on-line content n.e.c.;
S844;News agency services;
S8441;News agency services to newspapers and periodicals;
S84410;News agency services to newspapers and periodicals;
S8442;News agency services to audiovisual media;
S84420;News agency services to audiovisual media;
S845;Library and archive services;
S8451;Library services;
S84510;Library services;
S8452;Archive services;
S84520;Archive services;
S846;Broadcasting, programming and programme distribution services;
S8461;Radio and television broadcast originals;
S84611;Radio broadcast originals;
S84612;Television broadcast originals;
S8462;Radio and television channel programmes;
S84621;Radio channel programmes;
S84622;Television channel programmes;
S8463;Broadcasting services and multi-channel progamme distribution services;
S84631;Broadcasting services;
S84632;Home programme distribution services, basic programming package;
S84633;Home programme distribution services, discretionary programming package;
S84634;Home programme distribution services, pay-per-view;
S85;Support services;
S851;Employment services;
S8511;Personnel search and referral services;
S85111;Executive/retained search services;
S85112;Permanent placement services, other than executive search services;
S8512;Labour supply services;
S85121;Contract staffing services;
S85122;Temporary staffing services;
S85123;Long-term staffing (payrolling) services;
S85124;Temporary staffing-to-permanent placement services;
S85125;Co-employment staffing services;
S852;Investigation and security services;
S8521;Investigation services;
S85210;Investigation services;
S8522;Security consulting services;
S85220;Security consulting services;
S8523;Security systems services;
S85230;Security systems services;
S8524;Armoured car services;
S85240;Armoured car services;
S8525;Guard services;
S85250;Guard services;
S8529;Other security services;
S85290;Other security services;
S853;Cleaning services;
S8531;Disinfecting and exterminating services;
S85310;Disinfecting and exterminating services;
S8532;Window cleaning services;
S85320;Window cleaning services;
S8533;General cleaning services;
S85330;General cleaning services;
S8534;Specialized cleaning services;
S85340;Specialized cleaning services;
S854;Packaging services;
S8540;Packaging services;
S85400;Packaging services;
S855;Travel arrangement, tour operator and related services;
S8551;Reservation services for transportation;
S85511;Reservation services for air transportation;
S85512;Reservation services for rail transportation;
S85513;Reservation services for bus transportation;
S85514;Reservation services for vehicle rental;
S85519;Other transportation arrangement and reservation services n.e.c.;
S8552;Reservation services for accommodation, cruises and package tours;
S85521;Reservation services for accommodation;
S85522;Time-share exchange services;
S85523;Reservation services for cruises;
S85524;Reservation services for package tours;
S8553;Other reservation services;
S85531;Reservation services for convention centres, congress centres and exhibition halls;
S85539;Reservation services for event tickets, entertainment and recreational services and other reservation services;
S8554;Tour operator services;
S85540;Tour operator services;
S8555;Tourist guide services;
S85550;Tourist guide services;
S8556;Tourism promotion and visitor information services;
S85561;Tourism promotion services;
S85562;Visitor information services;
S859;Other support services;
S8591;Credit reporting services;
S85910;Credit reporting services;
S8592;Collection agency services;
S85920;Collection agency services;
S8593;Telephone-based support services;
S85931;Telephone call centre services;
S85939;Other telephone-based support services;
S8594;Combined office administrative services;
S85940;Combined office administrative services;
S8595;Specialized office support services;
S85951;Duplicating services;
S85952;Mailing list compilation services;
S85953;Mailing services;
S85954;Document preparation and other specialized office support services;
S8596;Convention and trade show assistance and organization services;
S85961;Convention assistance and organization services;
S85962;Trade show assistance and organization services;
S8597;Landscape care and maintenance services;
S85970;Landscape care and maintenance services;
S8599;Other information and support services n.e.c.;
S85991;Other information services;
S85999;Other support services n.e.c.;
S86;Support and operation services to agriculture, hunting, forestry, fishing, mining and utilities;
S861;Support and operation services to agriculture, hunting, forestry and fishing;
S8611;Support and operation services to crop production;
S86111;Post-harvest crop services;
S86112;Seed processing services;
S86113;Crop production services on inputs owned by others;
S86119;Other support services to crop production;
S8612;Animal husbandry services;
S86121;Farm animal husbandry services on inputs owned by others;
S86122;Support services to farm animal husbandry;
S86129;Other animal husbandry services;
S8613;Support and operation services to hunting;
S86131;Hunting services on resources owned by others;
S86132;Support services to hunting;
S8614;Support and operation services to forestry and logging;
S86141;Forestry and logging services on inputs owned by others;
S86142;Support services to forestry and logging;
S8615;Support and operation services to fishing;
S86151;Fishing services on resources owned by others;
S86152;Aquaculture services on inputs owned by others;
S86153;Support services to fishing;
S86154;Support services to aquaculture;
S862;Support and operation services to mining;
S8621;Support services to mining;
S86211;Support services to oil and gas extraction;
S86219;Support services to other mining;
S8622;Mining services on resources owned by others;
S86221;Oil and gas extraction services on resources owned by others;
S86229;Other mining services on resources owned by others;
S863;Support and operation services to electricity, gas and water distribution;
S8631;Support services to electricity transmission and distribution;
S86311;Electricity transmission services (on a fee or contract basis);
S86312;Electricity distribution services (on a fee or contract basis);
S8632;Gas distribution services through mains (on a fee or contract basis);
S86320;Gas distribution services through mains (on a fee or contract basis);
S8633;Water distribution services through mains (on a fee or contract basis);
S86330;Water distribution services through mains (on a fee or contract basis);
S8634;Distribution services of steam, hot water and air-conditioning supply through mains (on a fee or contract basis);
S86340;Distribution services of steam, hot water and air-conditioning supply through mains (on a fee or contract basis);
S8635;Water distribution services, except through mains (on a fee or contract basis);
S86350;Water distribution services, except through mains (on a fee or contract basis);
S87;Maintenance, repair and installation (except construction) services;
S871;Maintenance and repair services of fabricated metal products, machinery and equipment;
S8711;Maintenance and repair services of fabricated metal products, except machinery and equipment;
S87110;Maintenance and repair services of fabricated metal products, except machinery and equipment;
S8712;Maintenance and repair services of office and accounting machinery;
S87120;Maintenance and repair services of office and accounting machinery;
S8713;Maintenance and repair services of computers and peripheral equipment;
S87130;Maintenance and repair services of computers and peripheral equipment;
S8714;Maintenance and repair of transport machinery and equipment;
S87141;Maintenance and repair services of motor vehicles;
S87142;Maintenance and repair services of motorcycles;
S87143;Maintenance and repair services of trailers, semi-trailers and other motor vehicles n.e.c.;
S87149;Maintenance and repair services of other transport equipment;
S8715;Maintenance and repair services of other machinery and equipment;
S87151;Maintenance and repair services of electrical household appliances;
S87152;Maintenance and repair services of electrical machinery and apparatus n.e.c.;
S87153;Maintenance and repair services of telecommunication equipment and apparatus;
S87154;Maintenance and repair services of medical, precision and optical instruments;
S87155;Maintenance and repair services of consumer electronics;
S87156;Maintenance and repair services of commercial and industrial machinery;
S87157;Maintenance and repair services of elevators and escalators;
S87159;Maintenance and repair services of other equipment;
S872;Repair services of other goods;
S8721;Repair services of footwear and leather goods;
S87210;Repair services of footwear and leather goods;
S8722;Repair services of watches, clocks and jewellery;
S87220;Repair services of watches, clocks and jewellery;
S8723;Repair services of garments and household textiles;
S87230;Repair services of garments and household textiles;
S8724;Repair services of furniture;
S87240;Repair services of furniture;
S8729;Maintenance and repair services of other goods n.e.c.;
S87290;Maintenance and repair services of other goods n.e.c.;
S873;Installation services (other than construction);
S8731;Installation services of fabricated metal products, except machinery and equipment;
S87310;Installation services of fabricated metal products, except machinery and equipment;
S8732;Installation services of industrial, manufacturing and service industry machinery and equipment;
S87320;Installation services of industrial, manufacturing and service industry machinery and equipment;
S8733;Installation services of office and accounting machinery and computers;
S87331;Installation services of mainframe computers;
S87332;Installation services of personal computers and peripheral equipment;
S87333;Installation services of office and accounting machinery;
S8734;Installation services of radio, television and communications equipment and apparatus;
S87340;Installation services of radio, television and communications equipment and apparatus;
S8735;Installation services of professional medical machinery and equipment, and precision and optical instruments;
S87350;Installation services of professional medical machinery and equipment, and precision and optical instruments;
S8736;Installation services of electrical machinery and apparatus n.e.c.;
S87360;Installation services of electrical machinery and apparatus n.e.c.;
S8739;Installation services of other goods n.e.c.;
S87390;Installation services of other goods n.e.c.;
S88;Manufacturing services on physical inputs owned by others;
S881;Food, beverage and tobacco manufacturing services;
S8811;Meat processing services;
S88110;Meat processing services;
S8812;Fish processing services;
S88120;Fish processing services;
S8813;Fruit and vegetables processing services;
S88130;Fruit and vegetables processing services;
S8814;Vegetable and animal oil and fat manufacturing services;
S88140;Vegetable and animal oil and fat manufacturing services;
S8815;Dairy product manufacturing services;
S88150;Dairy product manufacturing services;
S8816;Other food product manufacturing services;
S88161;Grain mill product manufacturing services;
S88162;Starch and starch product manufacturing services;
